experiment,configuration,event_id,cow,scenario,target_branch,start,end,duration_hours,expected_hypo,expected_instability,expected_hybrid,design_reason,heldout_start,event_after_heldout,informative_source_window,hypo_detected_any_overlap,hypo_novel_start_count,hypo_episode_overlap,hypo_detected_iou20,hypo_best_iou,hypo_episode_overlap_raw,hypo_detected_iou20_raw,hypo_best_iou_raw,hypo_attributable_interval_count,hypo_onset_delay_hours,hypo_score_max,hypo_background_notifs,instability_detected_any_overlap,instability_novel_start_count,instability_episode_overlap,instability_detected_iou20,instability_best_iou,instability_episode_overlap_raw,instability_detected_iou20_raw,instability_best_iou_raw,instability_attributable_interval_count,instability_onset_delay_hours,instability_score_max,instability_background_notifs,hybrid_detected_any_overlap,hybrid_novel_start_count,hybrid_episode_overlap,hybrid_detected_iou20,hybrid_best_iou,hybrid_episode_overlap_raw,hybrid_detected_iou20_raw,hybrid_best_iou_raw,hybrid_attributable_interval_count,hybrid_onset_delay_hours,hybrid_score_max,hybrid_background_notifs,monitoring_days
parameter_sensitivity,thresholds_strict,8081_hypo_mild_1543,8081,hypo_mild,HYPO,2023-11-01 12:30:00,2023-11-02 12:15:00,24.0,1,0,1,Dégradation graduelle conservatrice sous l'effet publié sur les pas.,2023-10-31 18:45:00,True,True,1,1,1,1,0.21875,1,1,0.21875,21,16.0,0.3090310819698416,2,0,0,1,0,0.010416666666666666,1,0,0.16666666666666666,1,,1.0,7,1,1,1,1,0.21875,1,1,0.21875,21,16.0,1.0,3,10.177083333333334
parameter_sensitivity,thresholds_strict,8081_hypo_moderate_1603,8081,hypo_moderate,HYPO,2023-11-02 03:30:00,2023-11-03 15:15:00,36.0,1,0,1,Pas ancrés sur Paudyal et al.; autres signaux = hypothèses techniques.,2023-10-31 18:45:00,True,True,1,1,1,1,0.3680555555555556,1,1,0.3680555555555556,53,12.25,0.28008325490245994,2,0,0,1,0,0.006944444444444444,1,0,0.08333333333333333,1,,0.9801034144824613,7,1,1,1,1,0.3680555555555556,1,1,0.3680555555555556,53,12.25,0.9801034144824613,3,10.177083333333334
parameter_sensitivity,thresholds_strict,8081_hypo_marked_1655,8081,hypo_marked,HYPO,2023-11-02 16:30:00,2023-11-04 16:15:00,48.0,1,0,1,"Scénario marqué de sensibilité, non calibré cliniquement.",2023-10-31 18:45:00,True,True,1,3,1,1,0.40625,1,1,0.40625,96,17.25,0.5569089265766165,2,1,1,1,0,0.026041666666666668,1,0,0.0625,6,31.0,1.0,7,1,4,1,1,0.40625,1,1,0.40625,96,17.25,1.0,3,10.177083333333334
parameter_sensitivity,thresholds_strict,8081_instability_mild_1764,8081,instability_mild,INSTABILITE,2023-11-03 19:45:00,2023-11-04 03:30:00,8.0,0,1,1,Hausse multivariée modeste et répétée; hypothèse exploratoire.,2023-10-31 18:45:00,True,True,0,0,0,0,0.0,0,0,0.0,0,,0.32821102370294225,2,1,1,1,1,0.25,1,1,0.25,8,3.25,0.98582599058906,7,0,0,0,0,0.0,0,0,0.0,0,,0.98582599058906,3,10.177083333333334
parameter_sensitivity,thresholds_strict,8081_instability_moderate_1830,8081,instability_moderate,INSTABILITE,2023-11-04 12:15:00,2023-11-05 00:00:00,12.0,0,1,1,"Instabilité multivariée persistante, sans pic extrême.",2023-10-31 18:45:00,True,True,0,0,0,0,0.0,1,1,0.5789473684210527,0,,0.6367017159433299,2,0,0,1,1,0.375,1,1,0.7916666666666666,29,,1.0,7,0,0,0,0,0.0,1,1,0.5789473684210527,0,,1.0,3,10.177083333333334
parameter_sensitivity,thresholds_strict,8081_instability_marked_1894,8081,instability_marked,INSTABILITE,2023-11-05 04:15:00,2023-11-05 20:00:00,16.0,0,1,1,"Scénario technique marqué, inférieur aux multiplicateurs de l'ancien protocole.",2023-10-31 18:45:00,True,True,0,0,0,0,0.0,1,1,0.5039370078740157,0,,0.3926931837490869,2,0,0,1,0,0.171875,1,1,0.5352112676056338,11,,1.0,7,0,0,0,0,0.0,1,1,0.5039370078740157,0,,1.0,3,10.177083333333334
parameter_sensitivity,thresholds_strict,8081_isolated_sensor_spike_1997,8081,isolated_sensor_spike,CONTROLE,2023-11-06 06:00:00,2023-11-06 06:00:00,0.25,0,0,0,Contrôle négatif: un seul pic de Motion Index doit être rejeté.,2023-10-31 18:45:00,True,False,0,0,0,0,0.0,0,0,0.0,0,,0.0,2,0,0,0,0,0.0,0,0,0.0,0,,0.1601666666666667,7,0,0,0,0,0.0,0,0,0.0,0,,0.1601666666666667,3,10.177083333333334
parameter_sensitivity,thresholds_strict,8081_short_exercise_2067,8081,short_exercise,CONTROLE,2023-11-06 23:30:00,2023-11-07 01:15:00,2.0,0,0,0,Contrôle négatif: hausse cohérente mais trop brève pour un épisode persistant.,2023-10-31 18:45:00,True,True,0,0,0,0,0.0,0,0,0.0,0,,0.0,2,0,0,0,0,0.0,0,0,0.0,0,,0.7676696403429253,7,0,0,0,0,0.0,0,0,0.0,0,,0.7676696403429253,3,10.177083333333334
parameter_sensitivity,thresholds_strict,8081_estrus_like_activity_2130,8081,estrus_like_activity,CONFONDANT,2023-11-07 15:15:00,2023-11-07 21:00:00,6.0,0,0,0,"Contrôle adversarial: activité de type œstrus, indiscernable sans contexte externe.",2023-10-31 18:45:00,True,True,0,0,0,0,0.0,0,0,0.0,16,,0.0987150339187628,2,0,0,0,0,0.0,0,0,0.0,0,,0.667680933880058,7,0,0,0,0,0.0,0,0,0.0,16,,0.667680933880058,3,10.177083333333334
parameter_sensitivity,thresholds_strict,8081_nonlocomotor_hypoactivity_2148,8081,nonlocomotor_hypoactivity,CONFONDANT,2023-11-07 19:45:00,2023-11-08 19:30:00,24.0,0,0,0,"Contrôle adversarial: hypoactivité non locomotrice, causalité indiscernable par capteur seul.",2023-10-31 18:45:00,True,True,1,1,1,0,0.13636363636363635,1,0,0.13636363636363635,54,19.5,0.5063410427048477,2,0,0,0,0,0.0,1,0,0.125,1,,0.9999999999999999,7,1,1,1,0,0.13636363636363635,1,0,0.13636363636363635,54,19.5,0.9999999999999999,3,10.177083333333334
parameter_sensitivity,thresholds_strict,8081_handling_manipulation_2293,8081,handling_manipulation,CONTROLE,2023-11-09 08:00:00,2023-11-09 08:45:00,1.0,0,0,0,Contrôle négatif: manipulation intense mais trop brève pour une alerte persistante.,2023-10-31 18:45:00,True,True,0,0,0,0,0.0,0,0,0.0,0,,0.07272727272727274,2,0,0,0,0,0.0,0,0,0.0,0,,0.14139109222327534,7,0,0,0,0,0.0,0,0,0.0,0,,0.14139109222327534,3,10.177083333333334
parameter_sensitivity,thresholds_strict,8081_instability_then_hypo_2105,8081,instability_then_hypo,SEQUENCE,2023-11-07 09:00:00,2023-11-10 08:45:00,72.0,1,1,1,"Séquence technique: instabilité, délai de 24 h, puis hypoactivité persistante.",2023-10-31 18:45:00,True,True,1,2,1,1,0.3047945205479452,1,1,0.3047945205479452,132,31.0,0.4322003764190484,2,1,2,1,0,0.03819444444444445,1,0,0.041666666666666664,16,9.0,1.0,7,1,5,1,1,0.3047945205479452,1,1,0.3047945205479452,132,31.0,1.0,3,10.177083333333334
parameter_sensitivity,thresholds_strict,8147_hypo_mild_1628,8147,hypo_mild,HYPO,2023-11-02 09:30:00,2023-11-03 09:15:00,24.0,1,0,1,Dégradation graduelle conservatrice sous l'effet publié sur les pas.,2023-10-31 22:30:00,True,True,0,0,0,0,0.0,1,0,0.06802721088435375,0,,0.1303887924690741,4,0,0,0,0,0.0,0,0,0.0,0,,1.0,4,0,0,0,0,0.0,1,0,0.06802721088435375,0,,1.0,7,10.270833333333334
parameter_sensitivity,thresholds_strict,8147_hypo_moderate_1684,8147,hypo_moderate,HYPO,2023-11-02 23:30:00,2023-11-04 11:15:00,36.0,1,0,1,Pas ancrés sur Paudyal et al.; autres signaux = hypothèses techniques.,2023-10-31 22:30:00,True,True,1,1,1,1,0.5093167701863354,1,1,0.43386243386243384,99,15.5,0.36167895539933015,4,0,0,0,0,0.0,0,0,0.0,0,,1.0,4,1,1,1,1,0.5093167701863354,1,1,0.43386243386243384,99,15.5,1.0,7,10.270833333333334
parameter_sensitivity,thresholds_strict,8147_hypo_marked_1734,8147,hypo_marked,HYPO,2023-11-03 12:00:00,2023-11-05 11:45:00,48.0,1,0,1,"Scénario marqué de sensibilité, non calibré cliniquement.",2023-10-31 22:30:00,True,True,1,1,1,1,0.3854166666666667,1,1,0.6666666666666666,88,9.25,0.5770925598829004,4,0,0,0,0,0.0,1,0,0.06770833333333333,0,,1.0,4,1,1,1,1,0.3854166666666667,1,1,0.6666666666666666,88,9.25,1.0,7,10.270833333333334
parameter_sensitivity,thresholds_strict,8147_instability_mild_1856,8147,instability_mild,INSTABILITE,2023-11-04 18:30:00,2023-11-05 02:15:00,8.0,0,1,1,Hausse multivariée modeste et répétée; hypothèse exploratoire.,2023-10-31 22:30:00,True,True,0,0,0,0,0.0,1,1,0.6744186046511628,2,,0.40810477266520373,4,0,0,0,0,0.0,0,0,0.0,0,,0.9489253995447896,4,0,0,0,0,0.0,1,1,0.6744186046511628,2,,0.9489253995447896,7,10.270833333333334
parameter_sensitivity,thresholds_strict,8147_instability_moderate_1921,8147,instability_moderate,INSTABILITE,2023-11-05 10:45:00,2023-11-05 22:30:00,12.0,0,1,1,"Instabilité multivariée persistante, sans pic extrême.",2023-10-31 22:30:00,True,True,0,0,0,0,0.0,1,1,0.8727272727272727,0,,0.45829734052572507,4,1,1,1,1,0.22916666666666666,1,1,0.375,18,11.75,0.9890395731242047,4,1,1,0,0,0.0,1,1,0.8727272727272727,0,11.75,0.9890395731242047,7,10.270833333333334
parameter_sensitivity,thresholds_strict,8147_instability_marked_1984,8147,instability_marked,INSTABILITE,2023-11-06 02:30:00,2023-11-06 18:15:00,16.0,0,1,1,"Scénario technique marqué, inférieur aux multiplicateurs de l'ancien protocole.",2023-10-31 22:30:00,True,True,0,0,0,0,0.0,1,0,0.08270676691729323,59,,0.08115838257950109,4,1,1,1,1,0.21875,1,1,0.21875,14,8.0,1.0,4,0,0,0,0,0.0,1,0,0.08270676691729323,59,,1.0,7,10.270833333333334
parameter_sensitivity,thresholds_strict,8147_isolated_sensor_spike_2093,8147,isolated_sensor_spike,CONTROLE,2023-11-07 05:45:00,2023-11-07 05:45:00,0.25,0,0,0,Contrôle négatif: un seul pic de Motion Index doit être rejeté.,2023-10-31 22:30:00,True,False,0,0,0,0,0.0,0,0,0.0,0,,0.14105485280517766,4,0,0,0,0,0.0,0,0,0.0,0,,0.6876086956521738,4,0,0,0,0,0.0,0,0,0.0,0,,0.6876086956521738,7,10.270833333333334
parameter_sensitivity,thresholds_strict,8147_short_exercise_2164,8147,short_exercise,CONTROLE,2023-11-07 23:30:00,2023-11-08 01:15:00,2.0,0,0,0,Contrôle négatif: hausse cohérente mais trop brève pour un épisode persistant.,2023-10-31 22:30:00,True,True,0,0,0,0,0.0,0,0,0.0,0,,0.12647605788867702,4,0,0,0,0,0.0,0,0,0.0,0,,0.4553611540081428,4,0,0,0,0,0.0,0,0,0.0,0,,0.4553611540081428,7,10.270833333333334
parameter_sensitivity,thresholds_strict,8147_estrus_like_activity_2226,8147,estrus_like_activity,CONFONDANT,2023-11-08 15:00:00,2023-11-08 20:45:00,6.0,0,0,0,"Contrôle adversarial: activité de type œstrus, indiscernable sans contexte externe.",2023-10-31 22:30:00,True,True,0,0,0,0,0.0,1,0,0.05357142857142857,5,,0.09574244716843197,4,0,0,0,0,0.0,0,0,0.0,0,,0.3402060391029575,4,0,0,0,0,0.0,1,0,0.05357142857142857,5,,0.3402060391029575,7,10.270833333333334
parameter_sensitivity,thresholds_strict,8147_nonlocomotor_hypoactivity_2238,8147,nonlocomotor_hypoactivity,CONFONDANT,2023-11-08 18:00:00,2023-11-09 17:45:00,24.0,0,0,0,"Contrôle adversarial: hypoactivité non locomotrice, causalité indiscernable par capteur seul.",2023-10-31 22:30:00,True,True,1,1,1,1,0.29838709677419356,1,1,0.29838709677419356,65,14.75,0.35605657885528763,4,0,0,0,0,0.0,0,0,0.0,0,,0.8163805136194416,4,1,1,1,1,0.29838709677419356,1,1,0.29838709677419356,65,14.75,0.8163805136194416,7,10.270833333333334
parameter_sensitivity,thresholds_strict,8147_handling_manipulation_2391,8147,handling_manipulation,CONTROLE,2023-11-10 08:15:00,2023-11-10 09:00:00,1.0,0,0,0,Contrôle négatif: manipulation intense mais trop brève pour une alerte persistante.,2023-10-31 22:30:00,True,True,0,0,0,0,0.0,0,0,0.0,0,,0.0,4,0,0,0,0,0.0,0,0,0.0,0,,0.2659757715231135,4,0,0,0,0,0.0,0,0,0.0,0,,0.2659757715231135,7,10.270833333333334
parameter_sensitivity,thresholds_strict,8147_instability_then_hypo_1545,8147,instability_then_hypo,SEQUENCE,2023-11-01 12:45:00,2023-11-04 12:30:00,72.0,1,1,1,"Séquence technique: instabilité, délai de 24 h, puis hypoactivité persistante.",2023-10-31 22:30:00,True,True,1,1,1,1,0.2866666666666667,1,1,0.2621951219512195,98,50.5,0.3898027995694619,4,1,3,1,0,0.06597222222222222,1,0,0.06597222222222222,29,5.0,1.0,4,1,1,1,1,0.2866666666666667,1,1,0.2621951219512195,98,50.5,1.0,7,10.270833333333334
